team,player,zone
CMM,Mark_P,8
Group_8,Nelson,6
Memes_R_Us,Tyler,10
Memes_R_Us,Tyler,5
Always_A-Head,Thea,12
Always_A-Head,Hanna,7
Group_8,Nelson,4
TooGood,Zach,5
Group_8,Warren,9
Dragons,Linh,6
A,Alfred,12
Group_8,Warren,9
Group_8,Nelson,2
Memes_R_Us,Tyler,3
Memes_R_Us,Tyler,9
A,Alfred,7
TAZ&Ditij,Ditij,8
CMM,Mark_P,12
TAZ&Ditij,Ditij,7
Group_8,Nelson,12
Group_8,Cory,10
A,Alfred,7
Dragons,Linh,6
Always_A-Head,Thea,12
CMM,Mark_B,9
A,Alfred,8
Dragons,Linh,12
TAZ&Ditij,Ditij,10
Always_A-Head,Hanna,7
Always_A-Head,Hanna,1
A,Anton,10
Memes_R_Us,Tyler,2
TAZ&Ditij,Ditij,8
TAZ&Ditij,Muhammad,4
A,Alfred,8
Memes_R_Us,Thomas,7
A,Alfred,1
Always_A-Head,Hanna,5
Dragons,Linh,8
TooGood,Zach,9
Always_A-Head,Thea,7
TAZ&Ditij,Muhammad,4
CMM,Connor_F,6
Group_8,Nelson,12
CMM,Connor_F,5
CMM,Mark_P,12
TooGood,Diego,12
A,Alfred,8
Group_8,Nelson,8
Group_8,Warren,6
TAZ&Ditij,Muhammad,12
TooGood,Diego,5
CMM,Connor_F,8
Dragons,Linh,5
A,Anton,8
Memes_R_Us,Tyler,9
Memes_R_Us,Tyler,7
Memes_R_Us,Thomas,5
A,Alfred,9
Memes_R_Us,Thomas,5
CMM,Mark_B,8
CMM,Connor_F,5
A,Alfred,4
Dragons,Linh,4
Group_8,Cory,7
Group_8,Cory,5
Group_8,Nelson,6
Always_A-Head,Thea,3
TAZ&Ditij,Ditij,8
CMM,Mark_P,9
Group_8,Cory,2
Dragons,Linh,6
Memes_R_Us,Tyler,3
A,Anton,8
A,Anton,12
TAZ&Ditij,Ditij,8
CMM,Mark_B,3
A,Anton,9
Always_A-Head,Hanna,6
Dragons,Igbinosa,1
TAZ&Ditij,Muhammad,7
TooGood,Diego,3
TooGood,Diego,6
A,Alfred,3
Always_A-Head,Hanna,1
Always_A-Head,Thea,5
Memes_R_Us,Thomas,11
Group_8,Cory,7
TooGood,Zach,5
A,Alfred,9
A,Anton,10
CMM,Mark_P,9
Dragons,Igbinosa,2
Group_8,Nelson,7
Memes_R_Us,Thomas,8
TAZ&Ditij,Muhammad,12
Memes_R_Us,Tyler,7
Group_8,Nelson,6
A,Anton,5
Dragons,Linh,12
Memes_R_Us,Thomas,4
Group_8,Nelson,7
Always_A-Head,Thea,7
Memes_R_Us,Tyler,7
Dragons,Igbinosa,10
A,Anton,4
Memes_R_Us,Thomas,8
CMM,Mark_B,6
Memes_R_Us,Thomas,5
A,Alfred,10
Dragons,Linh,4
CMM,Mark_P,11
A,Anton,5
Group_8,Warren,7
A,Anton,6
Always_A-Head,Hanna,2
A,Anton,8
CMM,Mark_B,2
Group_8,Warren,6
TooGood,Diego,7
Memes_R_Us,Tyler,12
CMM,Mark_B,6
TAZ&Ditij,Muhammad,7
Group_8,Warren,3
A,Anton,2
TooGood,Zach,8
CMM,Mark_P,6
CMM,Connor_F,5
TooGood,Diego,5
TAZ&Ditij,Ditij,7
A,Anton,3
A,Alfred,4
TAZ&Ditij,Muhammad,4
Dragons,Igbinosa,6
CMM,Connor_F,6
TooGood,Zach,5
Dragons,Linh,5
TAZ&Ditij,Ditij,12
Memes_R_Us,Tyler,5
Dragons,Linh,6
TAZ&Ditij,Ditij,3
Group_8,Nelson,8
Group_8,Cory,7
A,Alfred,10
TooGood,Zach,7
TooGood,Diego,5
Always_A-Head,Thea,2
CMM,Mark_B,7
Memes_R_Us,Thomas,7
Dragons,Igbinosa,3
A,Anton,12
CMM,Mark_P,4
Always_A-Head,Hanna,7
CMM,Mark_B,8
Group_8,Warren,11
Group_8,Warren,7
TooGood,Zach,8
TAZ&Ditij,Muhammad,7
Memes_R_Us,Tyler,5
Memes_R_Us,Tyler,12
Memes_R_Us,Tyler,7
Memes_R_Us,Thomas,9
A,Anton,5
TooGood,Diego,7
A,Alfred,4
Dragons,Igbinosa,6
CMM,Mark_B,6
A,Alfred,5
Dragons,Linh,3
TooGood,Diego,4
TooGood,Zach,7
TAZ&Ditij,Muhammad,12
Memes_R_Us,Thomas,4
A,Alfred,4
TAZ&Ditij,Ditij,7
Always_A-Head,Hanna,8
Group_8,Warren,3
A,Alfred,10
CMM,Mark_P,6
Group_8,Cory,8
TAZ&Ditij,Ditij,11
Memes_R_Us,Thomas,7
CMM,Connor_F,12
TAZ&Ditij,Ditij,4
A,Alfred,4
TooGood,Diego,6
Group_8,Nelson,2
Group_8,Nelson,5
A,Alfred,6
A,Anton,7
TooGood,Diego,4
CMM,Connor_F,3
CMM,Connor_F,5
Dragons,Igbinosa,8
TooGood,Zach,7
Always_A-Head,Thea,5
Always_A-Head,Thea,8
Always_A-Head,Thea,10
CMM,Connor_F,8
Memes_R_Us,Thomas,4
CMM,Connor_F,7
TooGood,Zach,4
Memes_R_Us,Thomas,6
Always_A-Head,Hanna,4
Memes_R_Us,Tyler,3
Group_8,Cory,6
TAZ&Ditij,Muhammad,12
Group_8,Cory,8
Group_8,Warren,6
Group_8,Nelson,12
CMM,Mark_P,3
Dragons,Igbinosa,4
Memes_R_Us,Thomas,2
TAZ&Ditij,Muhammad,12
TooGood,Zach,8
Memes_R_Us,Thomas,7
Memes_R_Us,Tyler,6
TooGood,Diego,5
A,Alfred,8
CMM,Mark_B,5
Group_8,Warren,6
TooGood,Zach,5
A,Anton,2
Dragons,Igbinosa,7
Memes_R_Us,Thomas,6
CMM,Connor_F,8
TAZ&Ditij,Ditij,8
Always_A-Head,Hanna,7
Always_A-Head,Hanna,4
CMM,Mark_B,7
Always_A-Head,Hanna,2
Group_8,Warren,12
Dragons,Linh,5
Dragons,Linh,7
Always_A-Head,Hanna,3
Group_8,Nelson,4
A,Anton,9
CMM,Mark_B,10
Group_8,Warren,5
Memes_R_Us,Tyler,7
TooGood,Zach,6
TooGood,Diego,6
TAZ&Ditij,Muhammad,12
Always_A-Head,Thea,5
Memes_R_Us,Thomas,5
CMM,Mark_P,8
Always_A-Head,Thea,5
CMM,Connor_F,7
TAZ&Ditij,Ditij,8
TAZ&Ditij,Ditij,3
TAZ&Ditij,Muhammad,7
A,Alfred,2
TAZ&Ditij,Ditij,12
Memes_R_Us,Thomas,3
Group_8,Cory,6
TooGood,Diego,3
Memes_R_Us,Thomas,5
TAZ&Ditij,Ditij,1
Always_A-Head,Hanna,6
CMM,Mark_P,9
TAZ&Ditij,Ditij,12
CMM,Mark_B,5
Memes_R_Us,Tyler,8
Group_8,Warren,3
Always_A-Head,Hanna,11
Dragons,Linh,6
Group_8,Warren,10
Memes_R_Us,Thomas,5
TooGood,Zach,11
TooGood,Diego,6
A,Alfred,10
Always_A-Head,Thea,4
Dragons,Igbinosa,5
CMM,Connor_F,12
TAZ&Ditij,Muhammad,10
A,Alfred,4
Group_8,Cory,12
Group_8,Nelson,6
TAZ&Ditij,Muhammad,11
A,Anton,5
TAZ&Ditij,Muhammad,4
CMM,Connor_F,0
Group_8,Cory,6
Memes_R_Us,Tyler,8
CMM,Mark_B,10
CMM,Mark_B,3
CMM,Connor_F,7
Always_A-Head,Thea,6
CMM,Mark_B,5
CMM,Mark_P,6
Always_A-Head,Hanna,5
A,Anton,7
Always_A-Head,Hanna,12
CMM,Mark_P,8
Memes_R_Us,Tyler,8
CMM,Connor_F,7
Always_A-Head,Thea,3
Always_A-Head,Thea,2
TooGood,Zach,8
Group_8,Cory,10
Dragons,Igbinosa,2
Always_A-Head,Hanna,10
Group_8,Cory,4
Dragons,Igbinosa,3
TAZ&Ditij,Muhammad,6
A,Anton,5
CMM,Mark_P,9
Dragons,Linh,9
TAZ&Ditij,Ditij,12
A,Anton,7
CMM,Mark_P,7
Memes_R_Us,Thomas,8
Dragons,Igbinosa,5
CMM,Connor_F,12
Memes_R_Us,Tyler,10
CMM,Connor_F,9
CMM,Mark_B,1
Always_A-Head,Thea,7
TAZ&Ditij,Ditij,12
Memes_R_Us,Tyler,6
Dragons,Linh,5
Always_A-Head,Thea,12
A,Anton,4
Always_A-Head,Hanna,5
A,Anton,8
Memes_R_Us,Thomas,7
Group_8,Cory,4
A,Alfred,7
Group_8,Cory,6
Group_8,Cory,4
Dragons,Igbinosa,3
CMM,Mark_P,12
Dragons,Igbinosa,1
Group_8,Cory,7
Memes_R_Us,Tyler,6
Always_A-Head,Hanna,8
CMM,Mark_B,4
Dragons,Linh,11
Always_A-Head,Thea,5
Group_8,Warren,7
Group_8,Nelson,5
Memes_R_Us,Thomas,2
Always_A-Head,Hanna,5
Dragons,Igbinosa,10
CMM,Mark_P,6
Dragons,Linh,8
CMM,Mark_B,5
A,Anton,11
Dragons,Igbinosa,1
CMM,Mark_P,9
CMM,Mark_B,6
CMM,Mark_P,0
A,Alfred,7
Memes_R_Us,Tyler,6
Memes_R_Us,Thomas,7
CMM,Mark_B,6
TooGood,Zach,4
CMM,Mark_P,7
Memes_R_Us,Tyler,7
TooGood,Zach,7
Memes_R_Us,Thomas,6
Memes_R_Us,Thomas,6
TAZ&Ditij,Ditij,12
Memes_R_Us,Tyler,7
CMM,Connor_F,4
Memes_R_Us,Tyler,4
TAZ&Ditij,Muhammad,4
TAZ&Ditij,Ditij,4
Group_8,Nelson,2
TooGood,Zach,6
A,Anton,6
CMM,Mark_P,4
Always_A-Head,Thea,6
TAZ&Ditij,Ditij,4
CMM,Connor_F,5
CMM,Mark_P,1
TooGood,Zach,6
Always_A-Head,Thea,6
Group_8,Nelson,4
CMM,Connor_F,8
TAZ&Ditij,Ditij,12
Group_8,Nelson,8
A,Anton,8
A,Anton,4
Group_8,Warren,7
A,Anton,1
Always_A-Head,Hanna,8
Always_A-Head,Thea,3
TooGood,Diego,8
Always_A-Head,Thea,9
TAZ&Ditij,Ditij,11
Memes_R_Us,Thomas,4
TAZ&Ditij,Muhammad,2
CMM,Mark_P,3
TooGood,Zach,6
CMM,Mark_P,1
Always_A-Head,Thea,0
A,Anton,8
Always_A-Head,Thea,7
TooGood,Diego,3
Dragons,Igbinosa,3
Always_A-Head,Thea,5
Always_A-Head,Hanna,7
CMM,Connor_F,7
Dragons,Linh,5
TooGood,Zach,7
Dragons,Igbinosa,3
TooGood,Diego,6
CMM,Connor_F,5
Dragons,Igbinosa,6
Group_8,Warren,7
Group_8,Nelson,3
A,Alfred,9
TAZ&Ditij,Ditij,7
Group_8,Nelson,8
Always_A-Head,Thea,5
TooGood,Diego,9
Dragons,Linh,4
TooGood,Diego,8
Memes_R_Us,Thomas,6
Dragons,Igbinosa,5
Memes_R_Us,Thomas,3
Memes_R_Us,Tyler,4
Always_A-Head,Hanna,4
CMM,Connor_F,5
Dragons,Igbinosa,9
Group_8,Warren,2
TooGood,Diego,2
A,Alfred,9
A,Alfred,1
Always_A-Head,Hanna,6
Group_8,Warren,9
TAZ&Ditij,Muhammad,12
Group_8,Warren,9
CMM,Connor_F,6
Dragons,Igbinosa,6
CMM,Connor_F,1
TooGood,Diego,3
TooGood,Diego,4
CMM,Connor_F,8
Always_A-Head,Hanna,4
Group_8,Cory,3
CMM,Mark_B,1
A,Alfred,2
Memes_R_Us,Thomas,6
Group_8,Cory,8
A,Anton,6
Dragons,Igbinosa,4
TooGood,Zach,4
TooGood,Diego,6
TAZ&Ditij,Ditij,12
CMM,Connor_F,6
TAZ&Ditij,Muhammad,6
A,Anton,4
Dragons,Linh,8
CMM,Connor_F,8
Group_8,Cory,7
Dragons,Igbinosa,6
Always_A-Head,Hanna,7
CMM,Mark_P,8
TAZ&Ditij,Ditij,7
CMM,Connor_F,2
Memes_R_Us,Thomas,8
CMM,Connor_F,11
TooGood,Diego,4
Group_8,Cory,6
Group_8,Cory,7
TAZ&Ditij,Muhammad,8
TAZ&Ditij,Muhammad,6
A,Alfred,11
TooGood,Diego,6
A,Alfred,0
CMM,Connor_F,8
Dragons,Linh,6
Memes_R_Us,Tyler,4
Memes_R_Us,Tyler,4
Always_A-Head,Thea,12
Group_8,Nelson,7
TooGood,Diego,5
Dragons,Igbinosa,4
TAZ&Ditij,Muhammad,12
A,Anton,6
Dragons,Linh,7
Memes_R_Us,Tyler,3
TooGood,Zach,12
Group_8,Nelson,4
A,Alfred,1
Dragons,Linh,7
TooGood,Zach,3
TooGood,Diego,4
CMM,Mark_B,3
A,Alfred,6
Memes_R_Us,Tyler,6
Group_8,Nelson,6
TAZ&Ditij,Ditij,7
Memes_R_Us,Tyler,6
A,Alfred,9
CMM,Mark_P,10
Always_A-Head,Thea,1
Dragons,Igbinosa,1
Dragons,Linh,12
Dragons,Linh,6
TAZ&Ditij,Muhammad,12
CMM,Mark_B,6
CMM,Mark_B,8
Group_8,Nelson,5
Group_8,Cory,6
A,Anton,2
Group_8,Warren,4
TooGood,Zach,8
Group_8,Cory,4
Memes_R_Us,Thomas,3
TAZ&Ditij,Muhammad,5
Group_8,Cory,9
TooGood,Zach,3
TooGood,Zach,8
Group_8,Warren,9
Always_A-Head,Thea,12
Dragons,Linh,5
CMM,Connor_F,6
Group_8,Warren,8
Group_8,Cory,5
TAZ&Ditij,Muhammad,5
TooGood,Zach,7
Group_8,Nelson,6
Always_A-Head,Hanna,7
Dragons,Linh,7
Dragons,Linh,12
TAZ&Ditij,Ditij,12
Group_8,Nelson,8
Always_A-Head,Thea,3
Group_8,Warren,8
Memes_R_Us,Tyler,3
Group_8,Nelson,5
Group_8,Warren,4
Always_A-Head,Thea,2
CMM,Mark_B,8
A,Anton,3
TooGood,Zach,8
CMM,Connor_F,7
CMM,Mark_B,7
TooGood,Diego,9
A,Alfred,6
TAZ&Ditij,Ditij,7
A,Alfred,4
Group_8,Cory,6
Memes_R_Us,Thomas,0
Group_8,Warren,7
Group_8,Nelson,4
TAZ&Ditij,Muhammad,6
Group_8,Warren,8
TooGood,Zach,12
CMM,Mark_B,3
TAZ&Ditij,Muhammad,9
CMM,Mark_B,6
Dragons,Igbinosa,7
TAZ&Ditij,Ditij,4
A,Anton,6
A,Alfred,6
CMM,Mark_B,5
A,Anton,5
Group_8,Warren,10
Group_8,Warren,8
Group_8,Nelson,3
Memes_R_Us,Tyler,9
A,Alfred,9
A,Alfred,6
Group_8,Warren,5
Group_8,Cory,6
Group_8,Cory,4
Dragons,Igbinosa,10
Group_8,Warren,4
TooGood,Zach,9
Dragons,Igbinosa,7
CMM,Connor_F,4
CMM,Mark_P,5
TooGood,Zach,9
Group_8,Nelson,2
TAZ&Ditij,Muhammad,3
TooGood,Zach,8
Dragons,Igbinosa,9
Group_8,Nelson,4
Memes_R_Us,Tyler,8
Group_8,Nelson,5
TAZ&Ditij,Ditij,4
Group_8,Warren,6
TAZ&Ditij,Ditij,9
TooGood,Zach,10
Group_8,Warren,7
Always_A-Head,Hanna,6
CMM,Mark_P,8
Group_8,Warren,10
TooGood,Zach,6
Group_8,Cory,7
TAZ&Ditij,Ditij,10
Always_A-Head,Hanna,8
Always_A-Head,Hanna,4
Dragons,Linh,11
CMM,Mark_B,4
CMM,Mark_P,6
CMM,Mark_P,12
CMM,Connor_F,4
TAZ&Ditij,Muhammad,8
CMM,Mark_P,4
Always_A-Head,Thea,5
A,Alfred,12
Always_A-Head,Hanna,8
CMM,Mark_B,3
Memes_R_Us,Tyler,3
CMM,Mark_B,3
CMM,Connor_F,6
Group_8,Cory,5
CMM,Connor_F,4
Dragons,Linh,12
CMM,Connor_F,6
CMM,Connor_F,5
TooGood,Zach,7
TooGood,Zach,6
Group_8,Nelson,5
Always_A-Head,Thea,8
Memes_R_Us,Thomas,3
TooGood,Diego,5
Always_A-Head,Thea,12
TooGood,Diego,7
Group_8,Cory,4
CMM,Connor_F,11
A,Anton,4
A,Anton,2
CMM,Connor_F,7
TAZ&Ditij,Ditij,11
Group_8,Cory,5
Group_8,Cory,3
CMM,Connor_F,5
Dragons,Linh,4
Dragons,Linh,8
TooGood,Zach,11
TAZ&Ditij,Muhammad,8
TooGood,Zach,9
TooGood,Diego,7
Memes_R_Us,Thomas,1
Group_8,Warren,6
TAZ&Ditij,Muhammad,3
Always_A-Head,Hanna,6
Group_8,Cory,7
Always_A-Head,Hanna,6
TAZ&Ditij,Muhammad,6
TAZ&Ditij,Muhammad,9
CMM,Mark_B,5
CMM,Mark_P,6
TAZ&Ditij,Ditij,6
Group_8,Warren,7
CMM,Connor_F,8
Dragons,Linh,9
Memes_R_Us,Thomas,6
Group_8,Nelson,9
Always_A-Head,Thea,4
Memes_R_Us,Tyler,3
Group_8,Warren,7
Group_8,Cory,6
Always_A-Head,Thea,6
CMM,Connor_F,7
Memes_R_Us,Thomas,7
Memes_R_Us,Tyler,3
TAZ&Ditij,Muhammad,6
TAZ&Ditij,Muhammad,7
A,Alfred,5
TAZ&Ditij,Muhammad,4
Memes_R_Us,Thomas,4
TAZ&Ditij,Muhammad,7
Group_8,Cory,5
Dragons,Igbinosa,0
A,Alfred,4
Always_A-Head,Thea,3
Group_8,Nelson,6
Memes_R_Us,Thomas,1
CMM,Mark_B,5
Group_8,Warren,4
Memes_R_Us,Thomas,6
CMM,Mark_B,4
Group_8,Cory,8
CMM,Mark_P,3
Dragons,Linh,4
CMM,Mark_B,5
Dragons,Linh,9
TooGood,Zach,4
Memes_R_Us,Thomas,1
CMM,Connor_F,7
Always_A-Head,Thea,8
Group_8,Nelson,9
A,Alfred,2
TooGood,Diego,1
Dragons,Igbinosa,8
Memes_R_Us,Thomas,5
TAZ&Ditij,Ditij,7
Always_A-Head,Thea,6
Memes_R_Us,Tyler,10
Dragons,Igbinosa,8
Group_8,Warren,11
Memes_R_Us,Tyler,6
TooGood,Diego,2
Dragons,Igbinosa,4
Always_A-Head,Thea,3
Dragons,Linh,8
Memes_R_Us,Thomas,4
Always_A-Head,Hanna,11
Group_8,Cory,6
Memes_R_Us,Tyler,0
Group_8,Cory,3
Always_A-Head,Hanna,5
Group_8,Nelson,4
Memes_R_Us,Thomas,6
Dragons,Linh,8
A,Alfred,7
Group_8,Warren,5
Group_8,Cory,1
A,Alfred,11
Always_A-Head,Thea,5
CMM,Connor_F,7
TooGood,Zach,11
Memes_R_Us,Tyler,5
TooGood,Zach,4
TooGood,Diego,10
Group_8,Nelson,8
Memes_R_Us,Tyler,9
Always_A-Head,Thea,4
TAZ&Ditij,Muhammad,12
Group_8,Warren,12
A,Anton,5
TooGood,Zach,10
Dragons,Igbinosa,6
Dragons,Igbinosa,3
Always_A-Head,Hanna,5
Group_8,Cory,9
Group_8,Nelson,0
CMM,Mark_P,5
Always_A-Head,Hanna,6
Dragons,Linh,11
Always_A-Head,Thea,6
CMM,Connor_F,5
A,Alfred,12
Group_8,Nelson,4
Always_A-Head,Thea,4
A,Alfred,11
Dragons,Linh,10
CMM,Mark_P,9
TAZ&Ditij,Muhammad,6
TooGood,Zach,6
TAZ&Ditij,Muhammad,5
CMM,Connor_F,8
Group_8,Nelson,6
TAZ&Ditij,Ditij,12
Group_8,Nelson,6
TAZ&Ditij,Ditij,6
Group_8,Warren,4
TAZ&Ditij,Muhammad,12
TooGood,Zach,7
TAZ&Ditij,Ditij,8
CMM,Mark_B,8
Group_8,Nelson,10
CMM,Mark_P,5
Dragons,Igbinosa,6
TooGood,Diego,4
CMM,Connor_F,1
Memes_R_Us,Thomas,3
CMM,Mark_P,10
Dragons,Igbinosa,4
A,Anton,5
Dragons,Linh,7
TooGood,Diego,5
TAZ&Ditij,Muhammad,12
CMM,Mark_P,8
Group_8,Cory,4
Dragons,Linh,6
CMM,Mark_B,6
Memes_R_Us,Thomas,2
CMM,Connor_F,9
A,Anton,8
CMM,Connor_F,5
Always_A-Head,Hanna,12
CMM,Mark_B,6
TooGood,Diego,4
Dragons,Igbinosa,9
TAZ&Ditij,Ditij,6
Always_A-Head,Hanna,3
CMM,Mark_B,2
TooGood,Diego,7
Group_8,Warren,10
Group_8,Cory,2
Group_8,Nelson,4
Dragons,Igbinosa,6
TAZ&Ditij,Muhammad,11
Group_8,Nelson,9
TooGood,Zach,12
Group_8,Warren,6
A,Anton,7
Dragons,Igbinosa,4
A,Alfred,2
Memes_R_Us,Tyler,2
Always_A-Head,Hanna,8
Dragons,Linh,8
TAZ&Ditij,Ditij,6
Group_8,Cory,6
A,Anton,2
Memes_R_Us,Thomas,10
TooGood,Diego,7
Always_A-Head,Thea,11
Group_8,Nelson,5
Memes_R_Us,Thomas,3
CMM,Mark_P,5
Group_8,Nelson,0
Always_A-Head,Thea,2
Group_8,Cory,3
Group_8,Warren,7
A,Anton,4
CMM,Mark_B,5
Dragons,Linh,9
TooGood,Zach,7
TAZ&Ditij,Ditij,10
CMM,Mark_B,4
Dragons,Igbinosa,5
Dragons,Igbinosa,4
TAZ&Ditij,Ditij,10
CMM,Mark_B,5
CMM,Mark_P,5
TAZ&Ditij,Ditij,12
Dragons,Linh,9
Group_8,Cory,5
Dragons,Igbinosa,12
Always_A-Head,Hanna,7
TAZ&Ditij,Muhammad,9
Memes_R_Us,Tyler,4
TooGood,Diego,4
Group_8,Warren,5
A,Anton,5
TooGood,Zach,4
Group_8,Warren,7
TooGood,Diego,3
CMM,Mark_P,10
Memes_R_Us,Tyler,4
CMM,Mark_B,4
CMM,Mark_B,3
TAZ&Ditij,Muhammad,4
CMM,Mark_B,4
CMM,Mark_P,8
CMM,Mark_P,11
Always_A-Head,Hanna,7
CMM,Mark_P,10
Dragons,Igbinosa,8
Group_8,Warren,9
Always_A-Head,Hanna,6
Memes_R_Us,Thomas,5
TAZ&Ditij,Ditij,7
Always_A-Head,Thea,5
CMM,Mark_P,9
Always_A-Head,Thea,4
TAZ&Ditij,Muhammad,1
TooGood,Zach,7
Group_8,Cory,11
A,Alfred,7
Dragons,Linh,6
A,Alfred,6
Always_A-Head,Hanna,3
CMM,Mark_B,9
Group_8,Cory,6
Dragons,Igbinosa,2
Always_A-Head,Hanna,6
Group_8,Nelson,5
CMM,Mark_P,4
TAZ&Ditij,Ditij,9
A,Anton,9
A,Alfred,7
TAZ&Ditij,Ditij,11
Dragons,Igbinosa,5
Always_A-Head,Thea,5
Dragons,Linh,7
TooGood,Diego,6
CMM,Mark_P,7
CMM,Mark_P,7
A,Alfred,10
Dragons,Igbinosa,1
CMM,Mark_P,10
Dragons,Igbinosa,7
Always_A-Head,Hanna,8
TooGood,Diego,5
TooGood,Diego,8
TooGood,Diego,7
Dragons,Linh,5
TAZ&Ditij,Muhammad,5
TooGood,Diego,7
A,Anton,7
A,Alfred,7
TooGood,Diego,10
A,Anton,8
TAZ&Ditij,Ditij,4
TAZ&Ditij,Muhammad,8
Memes_R_Us,Thomas,8
Dragons,Linh,10
TooGood,Zach,5
Memes_R_Us,Tyler,6
Memes_R_Us,Thomas,10
A,Alfred,6
Always_A-Head,Hanna,2
Memes_R_Us,Tyler,7
Group_8,Warren,2
A,Anton,8
CMM,Mark_B,6
CMM,Mark_B,5
Always_A-Head,Hanna,8